entity_id,num_source_files,source_files,company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner,is_gmp_facility,is_commercial,website_url_status,address_street_status,contact_name_status,contact_email_status,is_gmp_facility_status,is_commercial_status
ENT-000001,1,env_labs_standardized.csv,(809) US Air Force - Hill AFB Chemical Science Laboratory,,TNI01949,,Hill AFB,Utah,,,env_labs,,,,,,,,,,,search_found_nothing,no_website_fallback_search_failed,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages
ENT-000002,1,env_labs_standardized.csv,3B Analytical,,TNI02455,"8700 SW 26th Ave Suite L, Portland, OR 97219",Portland,Oregon,,,env_labs,https://www.3banalytical.com/,Meghan Brock,test@3banalytical.com,,,,,,,,found_via_search,found_via_fallback_search,found_via_fallback_search,found_via_fallback_search,"no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)","no_pages_fetched_ok (pages_checked=1,fetched_ok=0,total_text_chars=0)"
ENT-000003,1,env_labs_standardized.csv,"A & B Environmental Services, Inc.",,TNI00025,"10100 East Freeway, Suite 100",Houston,Texas,,,env_labs,https://ablabs.com/,"Dr. Ram Ramakrishnan, Ph.D., C.I.H",info@ablabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted
ENT-000004,1,env_labs_standardized.csv,"A & B Environmental Services, Inc. Golden Triangle",,TNI02808,"2400 Hwy 365, Suite 110",Nederland,Texas,,,env_labs,https://ablabs.com/,John Watson,info@ablabs.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,found_via_fallback_search,extracted,extracted,extracted
ENT-000005,1,env_labs_standardized.csv,A & P WATER TESTING,,TNI01692,15 East Main Street,MORRISVILLE,New York,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages
ENT-000006,1,env_labs_standardized.csv,"A.W. Research Laboratories, Inc.",,TNI01083,314 Charles Street,Brainerd,Minnesota,,,env_labs,https://awlab.com/,Sara Ahlers,sara@awlab.com,,,,,,no_explicit_gmp,True,found_via_search,extracted,extracted,found_via_fallback_search,extracted,extracted
ENT-000007,1,env_labs_standardized.csv,"AbbVie Environmental, Health and Safety Laboratory",,TNI02017,100 Abbot Park Rd,Abbot Park,Illinois,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages
ENT-000008,1,env_labs_standardized.csv,Abilene - Taylor County Public Health District,,TNI00110,"850 N 6th St, Abilene, TX 79601",Abilene,Texas,,,env_labs,https://www.abilenetx.gov/,"Dr. Gary Holland, MD",healthde@abilenetx.gov,,,,,,no_explicit_gmp,False,found_via_search,found_via_fallback_search,found_via_fallback_search,extracted,extracted,"checked_pages_not_found (pages_checked=6,fetched_ok=6,total_text_chars=27337)"
ENT-000009,1,env_labs_standardized.csv,AC Analytical & Consulting LLC,,TNI01127,21518 Basset Drive NW,Puposky,Minnesota,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages
ENT-000010,1,env_labs_standardized.csv,"ACCU LABS, LLC",,TNI02461,"165 D St, Independence, OR 97351",Independence,Oregon,,,env_labs,,,,,,,,,,,search_found_nothing,found_via_fallback_search,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages,no_website_cannot_check_pages
